Unnamed: 0,tweet_id,favorite_count,retweet_count
803,769695466921623552,6477,1696
804,769335591808995329,0,7820
805,769212283578875904,5455,1745
806,768970937022709760,14516,6591
807,768909767477751808,0,2710
808,768855141948723200,4243,900
809,768609597686943744,4167,1218
810,768596291618299904,5087,1294
811,768554158521745409,0,5903
812,768473857036525572,13764,3476
813,768193404517830656,10977,3582
814,767884188863397888,4792,1398
815,767754930266464257,16168,5452
816,767500508068192258,7571,2368
817,767191397493538821,12407,3808
818,767122157629476866,10265,2890
819,766864461642756096,0,5697
820,766793450729734144,5119,1368
821,766714921925144576,2635,383
822,766693177336135680,4055,806
823,766423258543644672,6054,1606
824,766313316352462849,6854,1912
825,766078092750233600,0,2659
826,766069199026450432,4272,862
827,766008592277377025,3779,503
828,765719909049503744,7295,2169
829,765669560888528897,5228,1238
830,765395769549590528,26848,3413
831,765371061932261376,7128,2189
832,765222098633691136,11729,3427
833,764857477905154048,6507,1792
834,764259802650378240,6076,1515
835,763956972077010945,762,56
836,763837565564780549,12715,4199
837,763183847194451968,5429,1486
838,763167063695355904,0,3051
839,763103485927849985,7424,2313
840,762699858130116608,12248,3656
841,762471784394268675,11307,6474
842,762464539388485633,10381,4213
843,762316489655476224,4829,1132
844,762035686371364864,32152,15691
845,761976711479193600,5448,2030
846,761750502866649088,0,3959
847,761745352076779520,4302,872
848,761672994376806400,49890,29356
849,761599872357261312,4159,1198
850,761371037149827077,0,18220
851,761334018830917632,5229,1463
852,761292947749015552,4520,1093
853,761227390836215808,5359,1581
854,761004547850530816,11416,3503
855,760893934457552897,3845,986
856,760656994973933572,6625,1927
857,760641137271070720,5012,1311
858,760539183865880579,7619,3653
859,760521673607086080,4251,1395
860,760290219849637889,27017,11591
861,760252756032651264,3967,873
862,760190180481531904,5735,1818
863,760153949710192640,0,31
864,759943073749200896,5992,2092
865,759923798737051648,14770,5697
866,759846353224826880,6776,1993
867,759793422261743616,6004,1933
868,759557299618865152,4733,1196
869,759447681597108224,8555,2470
870,759446261539934208,1684,494
871,759197388317847553,6116,1962
872,759159934323924993,0,1163
873,759099523532779520,14628,4201
874,759047813560868866,6535,2036
875,758854675097526272,3575,904
876,758828659922702336,11288,3865
877,758740312047005698,5774,1620
878,758474966123810816,3832,1009
879,758467244762497024,4821,2231
880,758405701903519748,5232,1922
881,758355060040593408,3426,1086
882,758099635764359168,19197,10067
883,758041019896193024,2721,377
884,757741869644341248,6915,3270
885,757729163776290825,0,8001
886,757725642876129280,4569,1221
887,757611664640446465,4589,1114
888,757597904299253760,0,301
889,757596066325864448,4361,1067
890,757400162377592832,15248,6901
891,757393109802180609,5852,1747
892,757354760399941633,4543,1433
893,756998049151549440,6328,1998
894,756939218950160384,6687,2021
895,756651752796094464,5093,1312
896,756526248105566208,10472,3610
897,756303284449767430,3959,1100
898,756288534030475264,44234,17836
899,756275833623502848,6450,1542
900,755955933503782912,7370,2900
