,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
416,FORD Mustang Convertible,2.3,4,SemiAuto-10,2WD,Gasoline,small car,5.0,20.0,29.0,23.0,5,No
417,FORD Mustang Convertible,5.0,8,SemiAuto-10,2WD,Gasoline,small car,3.0,15.0,24.0,18.0,3,No
418,FORD Mustang Performance Package,2.3,4,Man-6,2WD,Gasoline,small car,5.0,20.0,28.0,23.0,5,No
419,FORD Mustang Performance Package,2.3,4,SemiAuto-10,2WD,Gasoline,small car,5.0,20.0,29.0,23.0,5,No
420,FORD Shelby GT350 Mustang,5.2,8,Man-6,2WD,Gasoline,small car,3.0,14.0,21.0,16.0,2,No
421,FORD Taurus,3.5,6,SemiAuto-6,2WD,Gasoline,large car,3.0,18.0,27.0,21.0,4,No
422,FORD Taurus,3.5,6,SemiAuto-6,4WD,Gasoline,large car,3.0,16.0,24.0,19.0,3,No
423,FORD Taurus,3.5,6,SemiAuto-6,4WD,Gasoline,large car,3.0,17.0,24.0,19.0,3,No
424,FORD Transit Connect,2.5,4,SemiAuto-6,2WD,Gasoline,special purpose,3.0,19.0,27.0,22.0,4,No
425,FORD Transit Connect,2.5,4,SemiAuto-6,2WD,Gasoline,special purpose,3.0,20.0,27.0,23.0,5,No
426,FORD Transit T150,3.5,6,SemiAuto-6,2WD,Gasoline,van,1.0,15.0,18.0,16.0,2,No
427,FORD Transit T150,3.7,6,SemiAuto-6,2WD,Gasoline,van,1.0,14.0,18.0,16.0,2,No
428,GENESIS G80,3.3,6,SemiAuto-8,2WD,Gasoline,large car,3.0,17.0,25.0,20.0,4,No
429,GENESIS G80,3.3,6,SemiAuto-8,4WD,Gasoline,large car,3.0,17.0,24.0,20.0,4,No
430,GENESIS G80,3.8,6,SemiAuto-8,2WD,Gasoline,large car,5.0,19.0,27.0,22.0,4,No
431,GENESIS G80,3.8,6,SemiAuto-8,4WD,Gasoline,large car,5.0,18.0,25.0,20.0,4,No
432,GENESIS G80,5.0,8,SemiAuto-8,2WD,Gasoline,large car,5.0,16.0,24.0,19.0,3,No
433,GENESIS G80,5.0,8,SemiAuto-8,4WD,Gasoline,large car,5.0,15.0,23.0,18.0,3,No
434,GENESIS G90,3.3,6,SemiAuto-8,2WD,Gasoline,large car,3.0,17.0,24.0,20.0,4,No
435,GENESIS G90,3.3,6,SemiAuto-8,4WD,Gasoline,large car,3.0,17.0,24.0,20.0,4,No
436,GENESIS G90,5.0,8,SemiAuto-8,2WD,Gasoline,large car,5.0,16.0,24.0,19.0,3,No
437,GENESIS G90,5.0,8,SemiAuto-8,4WD,Gasoline,large car,5.0,15.0,23.0,18.0,3,No
438,GMC Acadia,2.5,4,Auto-6,2WD,Gasoline,standard SUV,3.0,21.0,26.0,23.0,5,No
439,GMC Acadia,2.5,4,Auto-6,4WD,Gasoline,standard SUV,3.0,21.0,25.0,23.0,5,No
440,GMC Acadia,3.6,6,Auto-6,2WD,Gasoline,standard SUV,5.0,18.0,25.0,21.0,4,No
